Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,5.85453992114018,0.011434648283476914,5.854539921140203,0.01143464828347696,5.854539921140203,0.01143464828347696,0.0,0.0,5.854539921140203,0.01143464828347696,0.17003354935663006,0.17003354935663006,8.302419402179202e-05,0.011102551507389745,,2560,2048,512,4.0,0.0
1,5.83507098944027,0.011396623026250528,5.835070989440256,0.0113966230262505,5.835070989440256,0.0113966230262505,0.0,0.0,5.835070989440256,0.0113966230262505,0.17003354935663006,0.17003354935663006,8.302419402179202e-05,0.011064526250163359,0.05065767808547772,2560,2048,512,4.0,0.0
2,5.354346948990104,0.010457708884746297,5.354346948990147,0.010457708884746382,5.354346948990147,0.010457708884746382,0.0,0.0,5.354346948990147,0.010457708884746382,0.15449373297316038,0.15449373297316038,7.543639305330097e-05,0.010155963312533094,0.6432481281499309,2560,2048,512,4.0,0.0
3,5.7474124066473165,0.01122541485673304,5.740988986502542,0.011212869114262777,5.740988986502542,0.011212869114262777,0.0,0.006423420144805014,5.740988986502542,0.011212869114262777,0.19179791715890104,0.18537449701409603,9.051489112016408e-05,0.010850809549782061,0.505172371340227,2560,2048,512,4.0,0.0
4,5.727676790533771,0.01118686873151127,5.722737898002599,0.011177222457036326,5.722737898002599,0.011177222457036326,0.0,0.004938892531186845,5.722737898002599,0.011177222457036326,0.1904575175452834,0.18551862501409655,9.058526612016433e-05,0.01081488139255564,2.667185345616166,2560,2048,512,4.0,0.0
5,5.3543469489900275,0.010457708884746147,5.354346948990147,0.010457708884746382,5.354346948990147,0.010457708884746382,0.0,0.0,5.354346948990147,0.010457708884746382,0.15449373297315994,0.15449373297315994,7.543639305330075e-05,0.010155963312532944,2.2583460175971855,2560,2048,512,4.0,0.0
6,6.063910153701293,0.011843574518947839,6.0639101537011175,0.011843574518947495,6.0639101537011175,0.011843574518947495,0.0,0.0,6.0639101537011175,0.011843574518947495,0.17003354935662784,0.17003354935662784,8.302419402179094e-05,0.011511477742860675,4.45457619910276,2560,2048,512,4.0,0.0
7,6.052660453084874,0.011821602447431395,6.052660453084678,0.011821602447431011,6.052660453084678,0.011821602447431011,0.0,0.0,6.052660453084678,0.011821602447431011,0.17003354935662784,0.17003354935662784,8.302419402179094e-05,0.01148950567134423,0.18190480921313146,2560,2048,512,4.0,0.0
8,5.909131226867558,0.0115412719274757,5.909131226867446,0.01154127192747548,5.909131226867446,0.01154127192747548,0.0,0.0,5.909131226867446,0.01154127192747548,0.15449373297315994,0.15449373297315994,7.543639305330075e-05,0.011239526355262496,1.0960923187929819,2560,2048,512,4.0,0.0
9,5.966619767972908,0.011653554234322086,5.959425640323771,0.011639503203757366,5.959425640323771,0.011639503203757366,0.0,0.007194127648903148,5.959425640323771,0.011639503203757366,0.1925686246629983,0.18537449701409514,9.051489112016364e-05,0.011277443639277168,0.06050035441471735,2560,2048,512,4.0,0.0
10,5.959543055731373,0.011639732530725339,5.950939864778816,0.011622929423396124,5.950939864778816,0.011622929423396124,0.0,0.008603190952287676,5.950939864778816,0.011622929423396124,0.19408072796638365,0.18547753701409597,9.056520362016405e-05,0.011260668608915995,0.4934333919196483,2560,2048,512,4.0,0.0
11,5.979624328358222,0.011678953766324652,5.9784842804619185,0.011676727110277185,5.9784842804619185,0.011676727110277185,0.0,0.0011400478961043348,5.9784842804619185,0.011676727110277185,0.17186691631613193,0.1707268684200276,8.33627287207166e-05,0.011343276195394707,1.4078310557323075,2560,2048,512,4.0,0.0
12,5.960021369935477,0.011640666738155229,5.958943193995672,0.011638560925772796,5.958943193995672,0.011638560925772796,0.0,0.0010781759395896984,5.958943193995672,0.011638560925772796,0.18716298535643894,0.18608480941684924,9.086172334807092e-05,0.011275114032380934,0.053788807360614754,2560,2048,512,4.0,0.0
